,N,D,N_min,Z,CL_min,CL_maj,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
N,1.0,-2.1440326889443705e-16,-8.399821814115478e-16,-7.967636633882623e-17,-2.199415562931349e-16,3.593164545397103e-16,0.40513983203605164,-0.10904268151216298,0.299236968763415,-0.13531305079612024,-0.08670837500274556,-0.1374976109866114,0.08307153411819315
D,-2.1440326889443705e-16,1.0,-4.868775769507707e-16,-1.0656527306290331e-16,-1.0839584627472169e-16,2.0503320353391036e-16,0.09503708032605719,-0.03983176347940357,0.11537328044008655,0.005427607580563969,0.013753923997813302,-0.10950839117599563,0.03382266869966871
N_min,-8.399821814115478e-16,-4.868775769507707e-16,1.0,-7.008248060130208e-17,-5.395064821875767e-17,5.995255160381638e-17,-0.38765139660707204,0.21728393619538913,-0.30587852397147736,0.1886322793469916,0.1450100409187596,0.1672768306117431,0.0009536696465927638
Z,-7.967636633882623e-17,-1.0656527306290331e-16,-7.008248060130208e-17,1.0,7.593955103577639e-18,3.383063274271382e-17,-0.0031000463963826003,-0.006211929576088403,-0.002276971010485572,-0.00880634025193533,-0.002709103132338543,0.011018889219670445,-0.00634610221022409
CL_min,-2.199415562931349e-16,-1.0839584627472169e-16,-5.395064821875767e-17,7.593955103577639e-18,1.0,9.046769956188788e-18,-0.3152373720695697,-0.18783592031372598,-0.33631075235725755,-0.3275536292053277,-0.19162707532541218,0.0246985924272519,-0.34522968443045166
CL_maj,3.593164545397103e-16,2.0503320353391036e-16,5.995255160381638e-17,3.383063274271382e-17,9.046769956188788e-18,1.0,-0.0024431553970116287,-0.5583790215300253,0.11255171410013204,-0.45981807621309256,-0.5102873815122465,-0.36037491695644897,-0.3885724713767455
Accuracy,0.40513983203605164,0.09503708032605719,-0.38765139660707204,-0.0031000463963826003,-0.3152373720695697,-0.0024431553970116287,1.0,0.1414264143725821,0.9657873700892327,0.37886565179428916,0.28326474773982585,-0.21630714471814863,0.6684539626737309
Sensitivity,-0.10904268151216298,-0.03983176347940357,0.21728393619538913,-0.006211929576088403,-0.18783592031372598,-0.5583790215300253,0.1414264143725821,1.0,0.01382207503560607,0.9199276546073974,0.9641824578699371,0.35993012816931275,0.8193788140526452
Specificity,0.299236968763415,0.11537328044008655,-0.30587852397147736,-0.002276971010485572,-0.33631075235725755,0.11255171410013204,0.9657873700892327,0.01382207503560607,1.0,0.3040257045660769,0.17594005581924801,-0.250529308322734,0.5845231921934526
F1,-0.13531305079612024,0.005427607580563969,0.1886322793469916,-0.00880634025193533,-0.3275536292053277,-0.45981807621309256,0.37886565179428916,0.9199276546073974,0.3040257045660769,1.0,0.9369903519705499,0.2816876305426993,0.9207795798467328
G-mean,-0.08670837500274556,0.013753923997813302,0.1450100409187596,-0.002709103132338543,-0.19162707532541218,-0.5102873815122465,0.28326474773982585,0.9641824578699371,0.17594005581924801,0.9369903519705499,1.0,0.3266076046498971,0.8832579143982723
AUC,-0.1374976109866114,-0.10950839117599563,0.1672768306117431,0.011018889219670445,0.0246985924272519,-0.36037491695644897,-0.21630714471814863,0.35993012816931275,-0.250529308322734,0.2816876305426993,0.3266076046498971,1.0,0.14843667092422255
Balanced Accuracy,0.08307153411819315,0.03382266869966871,0.0009536696465927638,-0.00634610221022409,-0.34522968443045166,-0.3885724713767455,0.6684539626737309,0.8193788140526452,0.5845231921934526,0.9207795798467328,0.8832579143982723,0.14843667092422255,1.0
